title,artist_name,release,year,tag,caption_writing
Bliss,2002,This Moment Now,2003,"['reflective' 'relaxed' 'contemporary instrumental' 'ethereal' 'soothing'
 'calm peaceful' 'relaxation' 'new age' 'atmospheric' 'ambient']","This calm and peaceful instrumental exudes a relaxed atmosphere and soothes the soul with its ethereal, new age soundscapes, making it an ideal piece for relaxation and reflection. The contemporary instrumental blends ambient and reflective elements, creating a truly atmospheric experience."
Superstars,Garageland,Scorpio Righting,2001,['alternative' 'pop rock' 'indie'],This upbeat track blends pop rock with indie and alternative influences to create a captivating sound that's impossible not to move to.
Get In Touch,Freak Power,Drive-Thru Booty,0,['funk' 'pop rock'],"This uptempo pop rock anthem features infectious hooks, groovy funk-inspired rhythms, and bold guitar riffs that will have you dancing along in no time!"
The Name Belongs To You,Kaipa,Notes From The Past,2002,"['literate' 'heavy metal' 'the creative side' 'prog rock' 'sophisticated'
 'complex' 'cerebral' 'art rock' 'progressive rock' 'neo prog' 'pop rock'
 'solitude' 'trippy']","This innovative song showcases a blend of progressive rock, art rock and pop rock elements, weaving intricate and literate lyrics that explore themes of solitude and the creative side, all while delivering a cerebral and sophisticated listening experience enhanced by trippy sounds and heavy metal influences."
Kathleen,Roachford,Roachford,1988,['rock' 'rnb' 'contemporary rnb' 'urban' 'pop rock' 'strong'],"With its contemporary blend of R&B and pop rock, this urban anthem is a strong showcase of powerful vocals and electrifying instrumentals, seamlessly blending the best elements of R&B and rock."
Wilderness,Brian May,Another World,1998,"['earnest' 'urgent' 'dramatic' 'aggressive' 'theatrical' 'rock' 'bright'
 'heavy metal' 'classic rock' 'brash' 'small gathering' 'rousing'
 'freedom' 'energetic' 'bittersweet' 'warm' 'swaggering' 'pop rock'
 'hard rock' 'lively']","This song is an aggressive and energetic blend of classic rock and pop rock, with a swaggering and brash attitude ideal for a small gathering. The earnest and urgent lyrics evoke a sense of freedom, while the bright and lively instrumentals feel warm and dramatic. With a rousing chorus that blends heavy metal with hard rock, this bittersweet and theatrical anthem is sure to make an impact."
CAUTE BABY,Vec,Dobre Rano,0,['hip hop' 'pop rock'],"Experience an electrifying fusion of pop rock and hip hop in this dynamic track, with high-energy beats and catchy hooks that will have you dancing all night long."
Somewhere In Between,Phil Vassar,Phil Vassar,2000,"['reflective' 'amiable good natured' 'sentimental' 'contemporary country'
 'bittersweet' 'country' 'pop rock' 'contemporary singer songwriter']","This sentimental pop rock ballad by a contemporary singer songwriter blends amiable good natured melodies with a contemporary country feel, telling a bittersweet story of reflection and introspection."
Brooklyn To T-Neck,Das EFX,Dead Serious,1992,"['hanging out' 'confident' 'aggressive' 'witty' 'boisterous' 'golden age'
 'hip hop' 'brash' 'rousing' 'raucous' 'street smart' 'rap'
 'east coast rap' 'swaggering' 'gritty' 'trippy' 'freewheeling']","Get ready to experience an explosive dose of east coast rap infused with the golden age spirit, as this aggressive and raucous track takes you on a trippy journey full of witty wordplay, confident swaggering and street smart freewheeling, perfectly captured by the brash and gritty rhymes that will have you hanging out and feeling boisterous, while the rousing beat and booming bass line ensure a hip hop anthem that will leave you wanting more."
A Jah Jah,Rita Marley,Rita Marley Sings Bob Marley and Friends,0,['reggae'],This groovy track is packed with the unmistakable reggae beats that will transport you to a tropical paradise.
Mek Me Hot,Patra,Scent Of Attraction,0,['female vocalists' 'reggae'],"Get ready to groove to the soulful beats of reggae as powerful female vocalists take the stage, delivering a melodious and uplifting performance."
Midnight Coward,Stars,In Our Bedroom After The War,2007,"['earnest' 'reflective' 'smooth' 'romantic evening' 'dramatic'
 'theatrical' 'indie electronic' 'literate' 'breakup' 'boisterous'
 'chamber pop' 'sophisticated' 'indulgent' 'earthy' 'stylish'
 'introspection' 'gentle' 'bittersweet' 'warm' 'alternative indie rock'
 'indie pop' 'pop rock' 'refined' 'detached' 'indie']","Experience the indulgent and smoothly stylish sounds of alternative indie rock with a touch of literate and introspective lyrics, as you take a warm and earthy journey through dramatic breakup stories and bittersweet romantic evenings, all wrapped up in boisterous and refined chamber pop arrangements with hints of sophisticated indie electronic and gentle indie pop melodies, creating a detached yet intimate and reflective atmosphere perfect for a theatrical and earnest introspection."
My Wife,The Who,The Who - Ultimate Collection,1971,['rock' 'classic rock'],"This classic rock anthem packs a punch with its gritty guitar riffs and powerful vocals, proving the enduring appeal of the rock genre."
My Guitar,Rocky Hill,Texas - A Musical Celebration One Texas Shuffle,0,['blues'],This soulful track blends traditional blues melodies with modern production techniques for a truly captivating listening experience.
House of Blue Lights,Asleep At The Wheel,The Very Best Of Asleep At The Wheel,1987,['country'],"This toe-tappin', twangy tune is a quintessential example of pure country music at its finest."
Oye El Boom,David Bisbal,Todo Por Ustedes,2004,"['exuberant' 'romantic evening' 'latin pop' 'romantic' 'bright'
 'boisterous' 'pop' 'sexy' 'passionate' 'stylish' 'sensual' 'energetic'
 'summer' 'lively' 'playful' 'latin']","This latino-pop song is bursting with energy, featuring exuberant vocals and bright instrumentation that captures the passionate and sensual essence of a lively summer evening, perfect for getting boisterous and playful with your stylish partner as you dance the night away to its sexy Latin beats."
Fancy Robots,Justine Electra,Soft Rock,2006,"['alternative singer songwriter' 'laid back mellow' 'reflective'
 'indie electronic' 'the creative side' 'whimsical' 'dreamy' 'rainy day'
 'introspection' 'alternative indie rock' 'reflection' 'pop rock'
 'atmospheric' 'intimate' 'solitude' 'trippy' 'indie']","Experience the creative side of introspection with this laid back, mellow and dreamy alternative indie rock song. Pop rock influences meet whimsical indie electronic vibes to create a trippy and atmospheric sound that perfectly captures the emotions of solitude on a rainy day. With intimate and reflective lyrics sung by an alternative singer songwriter, this track is a true masterpiece of introspection and reflection."
Sin Solucion,Platero Y Tu,Muy Deficiente,1992,['rock'],This song is a powerful and energetic rock anthem that will have you headbanging and singing along from start to finish.
Awesome Rumble,The Belmondos,The Belmondos,0,['rock' 'pop rock'],"Get ready to sing along to this energetic pop rock anthem that blends catchy hooks with edgy rock riffs, guaranteed to keep you pumped up and rocking out all night long."
Denim And Leather (2009 Digital Remaster),Saxon,Denim And Leather (2009 Digital Remaster + Bonus Tracks),0,['heavy metal' 'classic rock' 'hard rock'],"This song is a powerful blend of classic rock, heavy metal, and hard rock, delivering an epic sound that will leave you headbanging and pumped up."
Morirse De Pena,La Pulqueria,Corridos De Amor,2004,"['confident' 'partying' 'celebratory' 'boisterous' 'spanish'
 'rambunctious' 'rollicking' 'rousing' 'energetic' 'rock en espaol' 'fun'
 'pop rock' 'summery' 'lively' 'cheerful' 'playful' 'latin' 'freewheeling']","Get ready to dance with this energetic pop rock anthem that is both rollicking and confident, with a freewheeling, lively Latin vibe that's sure to bring the fun to any party. With rousing vocals and boisterous instrumentals, this celebratory and playful rock en español tune captures the summery spirit of Spanish-speaking cultures, delivering a cheerful and rambunctious soundtrack to your next big bash."
We Can No Longer Cheat You,The Cribs,The New Fellas,2005,"['exuberant' 'hanging out' 'indie rock' 'messy' 'day driving' 'road trip'
 'rock' 'amiable good natured' 'carefree' 'energetic' 'bittersweet'
 'alternative indie rock' 'fun' 'pop rock' 'cheerful' 'playful' 'sweet'
 'indie' 'freewheeling']","This upbeat, alternative indie rock song is the perfect accompaniment for your next road trip. With its exuberant pop rock sound and carefree lyrics, the messy, amiable good-natured vibe will have you hanging out and enjoying the day driving with a playful, freewheeling spirit. The sweet, cheerful melody tinged with bittersweet moments will make this indie rock hit a fun and memorable addition to any playlist."
La Folia,Solar Plexus,Solar Plexus,0,['fusion' 'jazz' 'progressive rock' 'pop rock'],"This song is a genre-blending masterpiece, expertly infusing progressive rock, pop rock, jazz, and fusion to create a truly unique and captivating listening experience."
Scream & Shout,Kate Ryan,Stronger,2004,"['marching' 'club dance' 'pop' 'sexy' 'sentimental' 'electronic'
 'dance pop' 'english' 'dance' 'international' 'pop rock' 'strong'
 'lively' 'optimistic']","This international pop rock hit combines sentimental lyrics with a lively beat that seamlessly weaves dance pop, electronic elements, and English vocals, resulting in a strong, optimistic anthem perfect for both marching and club dancing. With a sexy edge and catchy hooks, this song is sure to get you moving."
Bookeeta,Criteria,Lagniappe: A Saddle Creek Benefit For Hurricane Katrina Relief,0,['indie rock'],This indie rock song features catchy guitar riffs and poignant lyrics about the struggles of growing up.
I'm Gonna Love You,Wilson Pickett,Blues Brother Soul Sister,1963,['60s' 'soul'],This soulful track transports listeners back to the groovy sounds of the 60s with its smooth vocals and nostalgic instrumentals.
Karma,Jessica Andrews,Who I Am,2001,"['earnest' 'fiddle' 'contemporary country' 'country pop' 'bittersweet'
 'innocent' 'country' 'playful']","This contemporary country pop track is both playful and earnest, featuring innocent fiddle melodies that evoke a bittersweet nostalgia for simpler times."
Hoe!,Del,Defenders of the Underworld,0,['hip hop'],This high-energy track blends catchy beats and sharp rhymes for a fresh take on classic hip hop.
I Did It My Way,Jay-Z,The Blueprint 2 The Gift & The Curse,2002,['hip hop'],This catchy new track is a head-bobbing hip hop anthem that will have you moving to the beat in no time.
Chant For Eschaton 2000,Behemoth,Satanica,1999,['death metal'],"The song is a crushing display of intensity, featuring blistering guitar riffs and guttural vocals that define the genre of death metal."
Just Like That,Toots & The Maytals,Time Tough: The Anthology,1980,['reggae'],This song is a fun and lively reggae tune that will transport you to the sunny beaches of Jamaica.
My Crime,Canned Heat,On The Road Again,1968,['blues'],This soulful track transports listeners to the heart of the Mississippi Delta with its raw blues sound and emotive lyrics.
The Girls,Calvin Harris,Live Lounge 2,2007,['electro' 'electronic' 'dance'],"Get ready to dance all night with this high-energy, electronic electro track that's sure to get your heart pumping!"
An Island,Devendra Banhart,Nino Rojo,2004,['folk' 'indie'],"This indie folk track is an understated gem, with poignant lyrics and a stripped-down, acoustic instrumentation that highlights the raw emotion of the vocals."
I Never Knew Love,The Saints,Show Me The Way,0,['70s' 'rock'],"This song embodies the electrifying spirit of 70s rock, with heart-pumping guitar riffs and an unapologetic rebellious attitude."
Irresistible,Mari Boine,In The Hand Of The Night,0,"['world' 'ethnic fusion' 'norwegian' 'female vocalists' 'new age'
 'international' 'folk' 'worldbeat']",This enchanting new age worldbeat song features the ethereal voices of international female vocalists and blends Norwegian folk influences with ethnic fusion to create a captivatingly global soundscape.
